ItemID,ItemName,Category,UoM,UnitPriceUSD,UnitPriceIDR,MinStock,LastStock,Location,Photo
11.0072,Control Transformer Day Tank PETER J MARTIN P/N. 500-240-110,,,0,,,1,WH - 3/E3,
11.0073,Soldertin 0.8Mm PANCING,,,0,,,5,WH - 3/E3,
11.0074,Relay Socket 8 Pin FORT,,,0,,,9,WH - 3/E3,
11.0075,Relay 8 Pin 220V Coil FORT (MK2P),,,0,,,9,WH - 3/E3,
11.0076,Relay 8A / 250V / 110VAC FINDERZ,,,0,,,6,WH - 3/E3,
11.0077,Terminal Clamp Socket,,,0,,,6,WH - 3/E3,
11.0078,Push Buttin Box FORT Type. BX 3=22,,,0,,,1,WH - 3/E3,
11.0079,Bulb Lamp 12V 21W P/N. 47382,,,0,,,2,WH - 3/E3,
11.008,Emergency Stop Switch SCHNEIDER P/N. ACX3438,,,0,,,5,WH - 3/E3,
11.0081,Hot Water Heater Element 1329XN,,,0,,,3,WH - 3/E3,
11.0082,3 Pin Plug 10A / 250V CLIPSAL,,,0,,,5,WH - 3/E3,
11.0083,Thermostat Surface 60C - 80C P/N. ST1205,,,0,,,3,WH - 3/E3,
11.0084,Receptacle Rubber 2 Pin IP44,,,0,,,4,WH - 3/E3,
11.0085,Relay 5 Pin 24V 20/10A BOSCH P/N. 0986AH0803,,,0,,,4,WH - 3/E3,
11.0086,Pilot Lamp GREEN 220V,,,0,,,3,WH - 3/E3,
11.0087,Pilot Lamp YELLOW 220V,,,0,,,3,WH - 3/E3,
11.0088,Pilot Lamp RED 220V,,,0,,,3,WH - 3/E3,
11.0089,Switch Button RED 6A / 600V / 250VAC,,,0,,,1,WH - 3/E3,
11.009,Switch Button GREEN 6A / 600V / 250VAC,,,0,,,1,WH - 3/E3,
11.0091,Push Button 5A 250VAC FORT,,,0,,,2,WH - 3/E3,
11.0092,LED Side Marker Lamp Red / Amber NAAVA P/N. 91403,,,0,,,3,WH - 3/E3,
11.0093,Selenoid Relay 12V for day Tank,,,0,,,2,WH - 3/E3,
11.0094,Scun Cable SC-50-12,,,0,,,39,WH - 3/E3,
11.0095,Scun Cable SC-120-12,,,0,,,4,WH - 3/E3,
11.0096,Plug APPLETON ACP1034CD 100A 3W 4P,,,0,,,1,WH - 3/E3,
11.0097,Receptacle APPLETON ACP1034 100A 3W 4P,,,0,,,1,WH - 3/E3,
11.0098,Cable NYYHY 3 x 2.5Mm @50 Mtr,,,0,1339000,,1,WH - 3,
11.0099,Power Relay 4 Pin 12V 30A,,,0,39000,,10,WH - 3,
11.01,"Box Panel 70cm(H) x 60cm(W) x 30cm(D), Material Steel 1,2mm for. Soft Starter",,,0,3441000,,0,WH - 3,
11.0101,Soft Starter 152 Amp 380V 50Hz HASXS4T0750G HIMEL,,,0,,,0,WH - 3,
11.0102,Appleton Plug 100Amp 4 Pole 4 Wire ACP1044CD,,,0,,,0,WH - 3,
11.0103,Appleton Receptacle 100Amp 4 Pole 4 Wire ADR1044,,,0,,,0,WH - 3,
11.0104,TeSys D contactor - 3P(3NO)-AC-3-440V 115A - 220V AC 50/60 Hz coil #PN LC1D115,,,0,5258000,,0,WH - 3,
11.0105,TeSys LRD thermal overload relays - 80...104 A - class 10A P/N. LRD4365,,,0,4420000,,0,WH - 3,
11.0106,"Circuit breaker ComPacT NSX100F, 36kA at 415VAC, TMD trip unit 100A, 3 poles 3d P/N. NSX100F",,,0,2116000,,0,WH - 3,
11.0107,Fuse Kubur FS-103 3 POLE 10 Ampere FORT #PN FS-103,,,0,21000,,0,WH - 3,
11.0108,TImer OMRON 220V #PN H3CR-68EL,,,0,1082000,,0,WH - 3,
11.0109,MCB SCHNEIDER 4A 1 Phase #C4,,,0,175000,,0,WH - 3,
11.011,MCB SCHNEIDER 20A 1 Phase #C20,,,0,151000,,0,WH - 3,
11.0111,MCB SCHNEIDER 6A 1 Phase #C6,,,0,151000,,0,WH - 3,
11.0112,"Push Button ""ON' Merk FORT #LA115-A5-10T",,,0,30000,,0,WH - 3,
11.0113,"Push Button ""OFF' Merk FORT #LA115-A5-10T",,,0,30000,,0,WH - 3,
11.0114,Pilot Lamp LED 22mm FORT AD22-22DS 220V AC #RED,,,0,11000,,0,WH - 3,
11.0115,Pilot Lamp LED 22mm FORT AD22-22DS 220V AC #GREEN,,,0,11000,,0,WH - 3,
11.0116,Pilot Lamp LED 22mm FORT AD22-22DS 220V AC #YELLOW,,,0,11000,,0,WH - 3,
11.0117,PUSH BUTTON EMERGENCY STOP 22MM #LAY5-BS542,,,0,29000,,0,WH - 3,
11.0118,Gland Cable #BPG-36,,,0,127000,,0,WH - 3,
11.0119,Steel Din For Rail MCB,,,0,43000,,0,WH - 3,
11.012,Cable NYYHY SUPREME #1X1.5 MM,,,0,8000,,0,WH - 3,
11.0121,Scun Cable Ferrules 1.5 MM @100 Ea,,,0,25000,,0,WH - 3,
11.0122,Scun Cable 25 Mm,,,0,5000,,0,WH - 3,
11.0123,Scun Cable SC-25,,,0,7000,,0,WH - 3,
11.0124,Cable NYYHY SUPREME #5X25MM,,,0,669000,,0,WH - 3,
11.0125,Cable NYYHY SUPREME #4X6MM,,,0,117000,,0,WH - 3,
11.0126,Cable NYYHY SUPREME #3X2.5MM,,,0,49000,,0,WH - 3,
11.0127,Plug APPLETON 100A #ACP 1034,,,0,11875000,,0,WH - 3,
11.0128,Receptacle APPLETON 100A #ADR 1034,,,0,10000000,,0,WH - 3,
11.0129,Pluh APPLETON 30A #ACP 3023,,,0,4375000,,0,WH - 3,
11.013,Receptacle APPLETON 30A #ADR 3023,,,0,412000,,0,WH - 3,
11.0131,"Flexible Conduit PVC 1/2"" 50 Mtr",,,0,898000,,0,WH - 3,
11.0132,"Flexible Conduit PVC 3/4"" 50 Mtr",,,0,990000,,0,WH - 3,
11.0133,Lamp LED Waterproof IP65 BATEN,,,0,,,8,WH - 2/X,
11.0134,TLD LED Lamp 36W,,,0,26000,,3,WH - 2/X,
11.0135,Ballas TLD Lamp PHILIPS,,,0,,,1,WH - 2/X,
11.0136,Explotion Proof Light Flourescent Lamp WAROM 220/250VAC 40W HRY52,,,0,5778000,,1,WH - 2/M,
11.0137,Exel-L Series Lighting Fixture With Cortem Resin-Bonded LED Strap SN. EXEL-230LEF4,,,0,,,2,WH - 2/M,
12.0001,Alternator 12V PERKINS for Genset Mini Camp P/N. 2871A306,,,0,,,2,WH - 3/C2,
12.0002,Alternator 24V Ex Used Mud Pump F-800,,,0,,,1,WH - 3/C2,
12.0003,Alternator 24V - 140A for Genset MTU,,,0,,,1,WH - 3/C2,
12.0004,Alternator 24V - 110A PRESTOLITE P/N. 8LHA3096U,,,0,,,1,WH - 3/C2,
12.0005,Alternator 24V - 70A Ex Used Mud Pump,,,0,,,1,WH - 3/C2,
12.0006,"Alternator 12V - 55A P/N. BXA041 Ex Used FCR Pump 6"" Trash Pump",,,0,,,2,WH - 3/C2,
12.0007,Dinamo Starter 12V PERKINS P/N. 2873K632,,,0,,,1,WH - 3/C2,
12.0008,Dinamo Starter 12V MAHLE P/N. 000050497202,,,0,,,1,WH - 3/C2,
12.0009,Alternator Ex Mud Pump,,,0,,,1,WH - 3/C3,
12.001,Prestilote Leece Neville Brushless Alternator MDL: BLD3314 for. Genset MTU,,,0,,,1,WH - 3/C3,
12.0011,Alternator Ex Mud Pump 24V 70A,,,0,,,1,WH - 3/C3,
12.0012,Alternator Bosch 12V 55A MDL: BXA041,,,0,,,2,WH - 3/C3,
12.0013,Prestilote Leece Neville Brushless Alternator 24V - 110A MDL: 8LHA3096U for. Engine MTU RIG,,,0,,,1,WH - 3/C3,
12.0014,Mahle Pinion Starter 12V MAHLE S/N. 50497202,,,0,,,1,WH - 3/C3,
12.0015,Dynamo Starter PERKINS S/N. 2873K632 Ex Rewainding for. Genset Mini Camp,,,0,,,0,WH - 3/C3,
12.0016,Twin Turbo Pneumatic Starter TDI S/N. T514-60048-01R-9,,,0,,,1,WH - 3/C3,
12.0017,Water Pump S/N. 5312010001 for. Engine MTU Detroit,,,0,,,1,WH - 3/C3,
12.0018,Exhaust Turbo Charge Abgasturbolader S/N. XT02101000072 for. Engine MTU Detroit,,,0,,,1,WH - 3/C3,
13.0001,Fuel Filter Separator RACOR P/N. 751000FHX30,,,0,,,1,WH - 3/A3,
13.0002,Air Filter INGERSOLL RAND P/N. 39708466,,,0,,,4,WH - PASON/A,
13.0003,Corrugated Conduit Size: 25Mm X 10Mtr CLIPSAL S/N. 9025CMS10-GY,,,0,,,1,WH - PASON/A,
13.0004,Water Pump / Centrifugal Pump 2 Hole,,,0,,,1,WH - PASON/A,
13.0005,Air Primary Duralite - DONALDSON CO85002,,,0,,,2,WH - PASON/A,
13.0006,Air Filter - FLEETGUARD AF25130M,,,0,,,1,WH - PASON/A,
13.0007,Fuel Filter - FLEETGUARD FF5037 for. Main Engine RIG,,,0,360450,,12,WH - PASON/B,
13.0008,Fuel Filter - FLEETGUARD FF5036 for. Main Engine RIG / Mud Pump No. 1 & 2,,,0,276750,,7,WH - PASON/B,
13.0009,Oil Filter MAN - WD13145 for. Engine MTU RIG,,,0,837000,,9,WH - PASON/C,
13.001,Lube/Oil Filter - FLEETGUARD LF3883 for. Main Engine RIG,,,0,418500,,7,WH - PASON/C,
13.0011,Fuel Filter - FLEETGUARD FF5019,,,0,,,5,WH - PASON/C,
13.0012,Air Filter - FLEETGUARD AF891,,,0,,,2,WH - PASON/D,
13.0013,Element Filter - DONALDSON P116446,,,0,,,2,WH - PASON/D,
13.0014,Air Filter - DONALDSON P828889,,,0,,,2,WH - PASON/D,
13.0015,CPU HP MDL: HP220SPF S/N. 2UA4200K3Y,,,0,,,1,WH - PASON/E,
13.0016,"Stud Bolt & Nut 1-3/8"" x 12.75",,,0,,,45,WH - PASON/E,
13.0017,Carbon Block Cartridge AQUACO CBCA-10,,,0,,,2,WH - PASON/F,
13.0018,Air Filter - FLEETGUARD AF25219M,,,0,,,1,WH - PASON/F,
13.0019,Air Filter - BALDWIN RS3544,,,0,270000,,1,WH - PASON/F,
13.002,Hyd. Filter - DONALDSON P165659,,,0,,,1,WH - PASON/G,
13.0021,Fuel Filter - AY SUBARU 243-62101-20,,,0,,,3,WH - PASON/G,
13.0022,Fuel Filter - DONALDSON P550127 for. Genset Mini Camp,,,0,,,7,WH - PASON/G,
13.0023,Element Separator Filter - FLEETGUARD FS20102 for. Fuel Tank,,,0,,,5,WH - PASON/G,
